"","P74","A","B","C","D","E","P","Psi","049","056","0142","Byz","Lect","33","81","88","104","181","326","330","436","451","614","629","630","945","1241","1505","1739","1877","2127","2412","2492","2495","it-ar","it-d","it-e","it-gig","it-h","it-l","it-p","it-r","vg","syr-p","syr-h","cop-sa","cop-bo","arm","eth","geo","Lucifer","Chrysostom","Irenaeus","Origen","Aleph-c"
"P74",0,0.211,0.292,0.398,0.686,0.573,0.661,0.561,0.632,0.655,0.649,0.673,0.66,0.412,0.368,0.62,0.614,0.497,0.596,0.649,0.579,0.643,0.626,0.536,0.544,0.48,0.626,0.614,0.474,0.655,0.661,0.637,0.62,0.649,0.497,0.68,0.62,0.614,0.833,0.611,0.75,0.591,0.409,0.585,0.591,0.497,0.404,0.544,0.604,0.474,0.687,0.712,0.733,0.81,0.467
"A",0.211,0,0.322,0.283,0.719,0.482,0.613,0.5,0.622,0.606,0.6,0.602,0.57,0.318,0.216,0.564,0.587,0.386,0.533,0.622,0.548,0.617,0.58,0.476,0.489,0.421,0.59,0.58,0.405,0.598,0.603,0.588,0.592,0.608,0.473,0.68,0.531,0.584,0.667,0.583,0.825,0.455,0.404,0.511,0.559,0.447,0.349,0.461,0.549,0.473,0.437,0.688,0.7,0.429,0.367
"B",0.292,0.322,0,0.434,0.769,0.604,0.735,0.591,0.678,0.727,0.721,0.733,0.69,0.473,0.352,0.676,0.698,0.557,0.683,0.716,0.667,0.716,0.645,0.601,0.629,0.585,0.705,0.661,0.53,0.705,0.721,0.656,0.705,0.678,0.568,0.766,0.651,0.685,0.792,0.639,0.75,0.591,0.497,0.626,0.634,0.492,0.36,0.551,0.637,0.552,0.687,0.8,0.833,0.524,0.7
"C",0.398,0.283,0.434,0,0.805,0.504,0.575,0.416,0.549,0.54,0.531,0.54,0.7,0.434,0.451,0.434,0.496,0.363,0.504,0.566,0.416,0.558,0.513,0.513,0.381,0.372,0.513,0.496,0.363,0.496,0.531,0.504,0.575,0.496,0.496,0.796,0.54,0.602,0.792,0.722,0.975,0.636,0.442,0.496,0.478,0.504,0.381,0.327,0.659,0.372,0.687,0.699,0.7,0.619,0.833
"D",0.686,0.719,0.769,0.805,0,0.653,0.678,0.628,0.612,0.653,0.661,0.653,0.76,0.777,0.826,0.686,0.645,0.628,0.669,0.62,0.628,0.612,0.595,0.678,0.702,0.669,0.653,0.669,0.711,0.669,0.653,0.603,0.694,0.678,0.653,0.27,0.661,0.512,0.625,0.583,0.5,0.591,0.669,0.62,0.595,0.653,0.769,0.653,0.78,0.628,0.625,0.76,0.367,0.667,0.973
"E",0.573,0.482,0.604,0.504,0.653,0,0.402,0.409,0.396,0.396,0.415,0.396,0.47,0.493,0.56,0.451,0.421,0.415,0.421,0.415,0.341,0.402,0.451,0.433,0.421,0.384,0.372,0.384,0.39,0.421,0.384,0.457,0.39,0.402,0.53,0.703,0.2,0.585,0.583,0.611,0.725,0.727,0.53,0.488,0.366,0.622,0.506,0.488,0.637,0.47,0.625,0.512,0.733,0.429,0.433
"P",0.661,0.613,0.735,0.575,0.678,0.402,0,0.358,0.122,0.122,0.16,0.08,0.12,0.581,0.568,0.307,0.251,0.449,0.256,0.105,0.243,0.1,0.337,0.28,0.433,0.464,0.1,0.254,0.492,0.16,0.133,0.337,0.127,0.276,0.608,0.687,0.451,0.584,0.542,0.722,0.725,0.727,0.624,0.466,0.343,0.615,0.617,0.539,0.604,0.569,0.5,0.24,0.667,0.619,0.5
"Psi",0.561,0.5,0.591,0.416,0.628,0.409,0.358,0,0.335,0.312,0.335,0.341,0.37,0.453,0.464,0.46,0.375,0.358,0.369,0.352,0.295,0.347,0.324,0.381,0.392,0.398,0.33,0.295,0.386,0.364,0.347,0.324,0.347,0.33,0.528,0.68,0.423,0.545,0.542,0.611,0.725,0.727,0.545,0.443,0.307,0.545,0.514,0.46,0.56,0.483,0.5,0.416,0.7,0.476,0.567
"049",0.632,0.622,0.678,0.549,0.612,0.396,0.122,0.335,0,0.138,0.162,0.097,0.11,0.547,0.512,0.279,0.212,0.398,0.228,0.133,0.296,0.128,0.34,0.262,0.41,0.448,0.122,0.266,0.476,0.207,0.163,0.337,0.12,0.29,0.576,0.664,0.469,0.584,0.625,0.694,0.65,0.682,0.612,0.437,0.351,0.609,0.56,0.528,0.582,0.543,0.625,0.216,0.633,0.571,0.5
"056",0.655,0.606,0.727,0.54,0.653,0.396,0.122,0.312,0.138,0,0.022,0.062,0.13,0.534,0.496,0.291,0.19,0.386,0.239,0.132,0.247,0.132,0.335,0.25,0.371,0.404,0.148,0.234,0.432,0.19,0.158,0.332,0.147,0.258,0.56,0.687,0.434,0.562,0.542,0.722,0.7,0.727,0.59,0.402,0.326,0.592,0.589,0.506,0.604,0.526,0.5,0.224,0.633,0.524,0.433
"0142",0.649,0.6,0.721,0.531,0.661,0.415,0.16,0.335,0.162,0.022,0,0.102,0.17,0.547,0.496,0.313,0.207,0.415,0.256,0.157,0.27,0.146,0.335,0.28,0.388,0.415,0.157,0.254,0.449,0.217,0.196,0.341,0.185,0.286,0.56,0.695,0.463,0.579,0.542,0.75,0.725,0.727,0.596,0.425,0.324,0.609,0.606,0.517,0.615,0.551,0.437,0.24,0.667,0.619,0.433
"Byz",0.673,0.602,0.733,0.54,0.653,0.396,0.08,0.341,0.097,0.062,0.102,0,0.07,0.547,0.52,0.267,0.199,0.409,0.233,0.062,0.176,0.057,0.29,0.256,0.364,0.392,0.068,0.187,0.426,0.125,0.125,0.29,0.119,0.222,0.551,0.687,0.434,0.557,0.542,0.75,0.75,0.682,0.58,0.431,0.295,0.597,0.606,0.5,0.626,0.523,0.562,0.208,0.667,0.524,0.467
