"","P66","P75","A","B","C","D","K","L","X","Delta","Theta","Pi","Psi","063","Byz","Lect","f-1","f-13","28","33","565","700","892","1009","1010","1071","1079","1195","1216","1230","1241","1242","1253","1344","1365","1546","1646","2148","2174","it-a","it-aur","it-b","it-c","it-d","it-e","it-f","it-ff-2","it-l","it-q","it-r-1","vg","syr-s","syr-c","syr-p","syr-pal","syr-h","cop","goth","arm","geo","eth","Diatessaron","Chrysostom","Nonnus","Cyprian","Hilary","Theodoret","Tertullian","Cyril","Origen","Eusebius","Aleph-c","W-supp"
"P66",0,0.379,0.576,0.36,0.468,0.676,0.576,0.41,0.569,0.496,0.525,0.604,0.511,0.645,0.583,0.554,0.59,0.583,0.59,0.432,0.568,0.562,0.568,0.619,0.554,0.604,0.54,0.568,0.54,0.489,0.511,0.547,0.562,0.59,0.604,0.576,0.547,0.597,0.59,0.597,0.626,0.655,0.612,0.638,0.691,0.489,0.647,0.529,0.555,0.653,0.597,0.653,0.591,0.532,0.702,0.619,0.45,0.574,0.576,0.52,0.75,0.588,0.534,0.469,0.48,0.731,0.55,0.529,0.598,0.429,0.654,0.595,0.375
"P75",0.379,0,0.591,0.209,0.511,0.783,0.574,0.348,0.652,0.522,0.504,0.643,0.47,0.581,0.617,0.548,0.609,0.67,0.583,0.383,0.539,0.626,0.557,0.652,0.591,0.6,0.6,0.565,0.626,0.522,0.496,0.583,0.562,0.617,0.617,0.635,0.643,0.6,0.609,0.687,0.687,0.852,0.696,0.8,0.817,0.513,0.739,0.606,0.591,0.774,0.696,0.739,0.652,0.6,0.652,0.626,0.6,0.652,0.539,0.609,0.806,0.75,0.636,0.408,0.6,0.846,0.8,0.618,0.664,0.405,0.808,0.548,0.312
"A",0.576,0.591,0,0.565,0.574,0.724,0.265,0.497,0.455,0.211,0.327,0.306,0.299,0.194,0.279,0.272,0.367,0.333,0.306,0.442,0.333,0.279,0.374,0.361,0.374,0.395,0.259,0.306,0.265,0.265,0.306,0.286,0.49,0.354,0.34,0.293,0.286,0.333,0.293,0.585,0.531,0.597,0.565,0.74,0.638,0.429,0.611,0.596,0.424,0.603,0.489,0.636,0.667,0.367,0.573,0.333,0.512,0.391,0.497,0.488,0.681,0.529,0.545,0.49,0.36,0.692,0.4,0.5,0.514,0.381,0.615,0.381,0.562
"B",0.36,0.209,0.565,0,0.245,0.703,0.659,0.381,0.439,0.584,0.567,0.647,0.509,0.581,0.671,0.626,0.647,0.659,0.645,0.473,0.618,0.636,0.601,0.706,0.612,0.593,0.624,0.682,0.647,0.578,0.549,0.601,0.594,0.654,0.682,0.647,0.659,0.671,0.665,0.671,0.694,0.764,0.688,0.654,0.738,0.565,0.715,0.558,0.555,0.744,0.64,0.678,0.652,0.606,0.557,0.601,0.412,0.557,0.532,0.52,0.625,0.662,0.557,0.408,0.44,0.692,0.75,0.559,0.514,0.31,0.769,0.452,0.344
"C",0.468,0.511,0.574,0.245,0,0.702,0.564,0.309,0.489,0.5,0.521,0.564,0.394,0.742,0.606,0.521,0.532,0.564,0.617,0.33,0.479,0.596,0.5,0.638,0.543,0.511,0.585,0.649,0.628,0.436,0.436,0.468,0.628,0.617,0.617,0.585,0.617,0.606,0.596,0.681,0.723,0.777,0.691,0.691,0.798,0.489,0.734,0.681,0.532,0.809,0.702,0.755,0.667,0.511,0.649,0.628,0.675,0.681,0.479,0.489,0.833,0.735,0.716,0.551,0.56,0.769,0.8,0.647,0.638,0.54,0.808,0.738,0.469
"D",0.676,0.783,0.724,0.703,0.702,0,0.655,0.703,0.707,0.717,0.669,0.683,0.662,0.903,0.683,0.669,0.634,0.655,0.676,0.628,0.697,0.669,0.69,0.676,0.683,0.634,0.634,0.662,0.662,0.683,0.676,0.648,0.792,0.71,0.683,0.669,0.676,0.676,0.669,0.614,0.621,0.576,0.579,0.037,0.574,0.676,0.59,0.654,0.68,0.603,0.662,0.636,0.621,0.655,0.664,0.703,0.637,0.67,0.676,0.632,0.722,0.691,0.716,0.776,0.68,0.615,0.85,0.706,0.766,0.82,0.885,0.643,0.656
"K",0.576,0.574,0.265,0.659,0.564,0.655,0,0.518,0.431,0.241,0.38,0.078,0.31,0.129,0.144,0.222,0.305,0.247,0.225,0.467,0.279,0.195,0.27,0.247,0.271,0.314,0.109,0.218,0.19,0.224,0.295,0.241,0.281,0.222,0.253,0.138,0.19,0.19,0.191,0.591,0.427,0.549,0.478,0.661,0.574,0.404,0.5,0.635,0.445,0.521,0.353,0.644,0.773,0.362,0.443,0.247,0.35,0.322,0.435,0.408,0.569,0.618,0.364,0.714,0.72,0.538,0.2,0.676,0.411,0.56,0.423,0.333,0.531
"L",0.41,0.348,0.497,0.381,0.309,0.703,0.518,0,0.309,0.494,0.488,0.51,0.369,0.387,0.539,0.5,0.488,0.524,0.56,0.339,0.461,0.542,0.47,0.589,0.494,0.405,0.5,0.554,0.536,0.429,0.369,0.47,0.437,0.556,0.571,0.482,0.536,0.554,0.56,0.591,0.586,0.667,0.624,0.701,0.695,0.509,0.632,0.585,0.461,0.636,0.568,0.695,0.667,0.487,0.542,0.538,0.275,0.522,0.5,0.528,0.625,0.662,0.557,0.347,0.4,0.615,0.45,0.471,0.411,0.36,0.577,0.238,0.531
"X",0.569,0.652,0.455,0.439,0.489,0.707,0.431,0.309,0,0.358,0.407,0.472,0.293,0.677,0.415,0.341,0.366,0.398,0.439,0.293,0.333,0.407,0.382,0.407,0.382,0.374,0.398,0.463,0.366,0.317,0.301,0.309,0.573,0.496,0.447,0.398,0.398,0.431,0.423,0.585,0.52,0.65,0.585,0.748,0.732,0.407,0.65,0.625,0.602,0.702,0.528,0.746,0.803,0.439,0.602,0.455,0.55,0.487,0.48,0.528,0.722,0.676,0.557,0.51,0.52,0.808,0.35,0.5,0.598,0.46,0.615,0.476,0.812
"Delta",0.496,0.522,0.211,0.584,0.5,0.717,0.241,0.494,0.358,0,0.287,0.242,0.291,0.129,0.12,0.152,0.316,0.259,0.172,0.402,0.224,0.165,0.269,0.241,0.229,0.32,0.284,0.21,0.187,0.193,0.277,0.184,0.167,0.185,0.229,0.297,0.176,0.21,0.185,0.517,0.433,0.521,0.465,0.685,0.574,0.298,0.493,0.481,0.359,0.488,0.338,0.542,0.667,0.294,0.481,0.222,0.412,0.183,0.435,0.384,0.583,0.485,0.318,0.571,0.36,0.538,0.15,0.382,0.374,0.4,0.462,0.452,0.594
"Theta",0.525,0.504,0.327,0.567,0.521,0.669,0.38,0.488,0.407,0.287,0,0.399,0.333,0.194,0.311,0.298,0.38,0.347,0.349,0.426,0.321,0.333,0.363,0.394,0.412,0.409,0.363,0.322,0.363,0.304,0.368,0.304,0.333,0.352,0.382,0.386,0.339,0.38,0.339,0.51,0.478,0.583,0.484,0.661,0.567,0.385,0.514,0.519,0.414,0.479,0.388,0.602,0.606,0.4,0.489,0.354,0.45,0.304,0.396,0.352,0.653,0.588,0.352,0.551,0.4,0.462,0.5,0.353,0.458,0.36,0.5,0.452,0.656
"Pi",0.604,0.643,0.306,0.647,0.564,0.683,0.078,0.51,0.472,0.242,0.399,0,0.307,0.29,0.196,0.255,0.281,0.275,0.268,0.464,0.327,0.222,0.261,0.261,0.314,0.32,0.059,0.222,0.163,0.19,0.314,0.229,0.437,0.314,0.301,0.131,0.203,0.229,0.216,0.604,0.471,0.576,0.49,0.685,0.667,0.418,0.549,0.657,0.469,0.57,0.403,0.669,0.773,0.399,0.542,0.268,0.362,0.435,0.49,0.48,0.625,0.632,0.466,0.735,0.72,0.615,0.2,0.765,0.495,0.68,0.423,0.405,0.594
"Psi",0.511,0.47,0.299,0.509,0.394,0.662,0.31,0.369,0.293,0.291,0.333,0.307,0,0.194,0.257,0.257,0.356,0.312,0.331,0.325,0.291,0.309,0.354,0.365,0.294,0.302,0.331,0.32,0.314,0.263,0.312,0.299,0.281,0.29,0.347,0.326,0.331,0.331,0.318,0.503,0.51,0.576,0.535,0.646,0.61,0.385,0.507,0.5,0.406,0.521,0.439,0.602,0.667,0.375,0.42,0.304,0.312,0.296,0.396,0.36,0.625,0.574,0.352,0.469,0.4,0.577,0.25,0.382,0.364,0.42,0.538,0.262,0.594
"063",0.645,0.581,0.194,0.581,0.742,0.903,0.129,0.387,0.677,0.129,0.194,0.29,0.194,0,0.097,0.097,0.258,0.097,0.226,0.419,0.161,0.065,0.161,0.161,0.065,0.258,0.129,0.129,0.129,0.161,0.161,0.097,0.258,0.129,0.129,0.129,0.189,0.194,0.29,0.645,0.516,0.71,0.452,0.903,0.581,0.452,0.581,0.742,0.452,0.839,0.516,0.871,0.774,0.355,0.516,0.226,0.71,0.806,0.452,0.613,0.903,0.968,0.581,0.839,0.92,0.962,0.85,0.935,0.581,0.96,0.846,0.806,0.742
