"","P75","Aleph","A","B","C","D","K","L","W","X","Delta","Theta","Xi","Pi","Psi","Byz","Lect","f-1","f-13","28","33","565","700","892","1009","1010","1071","1079","1195","1216","1230","1241","1242","1253","1344","1365","1546","1646","2148","2174","it-a","it-aur","it-b","it-i","it-c","it-d","it-e","it-f","it-ff-2","it-l","it-q","it-r-1","vg","syr-s","syr-c","syr-p","syr-pal","syr-h","cop","goth","arm","geo","eth","Diatessaron","Marcion","Irenaeus","Ambrose","Tertullian","Augustine","Cyril","Origen","Eusebius","Basil"
"P75",0,0.424,0.656,0.168,0.819,0.808,0.728,0.336,0.648,0.704,0.704,0.672,0.678,0.696,0.712,0.72,0.696,0.632,0.688,0.744,0.664,0.712,0.64,0.6,0.712,0.72,0.72,0.768,0.752,0.728,0.776,0.456,0.704,0.784,0.784,0.696,0.704,0.72,0.744,0.755,0.744,0.624,0.768,0.822,0.728,0.816,0.712,0.672,0.776,0.744,0.744,0.792,0.648,0.648,0.762,0.72,0.675,0.728,0.467,0.902,0.616,0.624,0.765,0.818,0.757,0.947,0.895,0.692,0.75,0.571,0.795,0.76,0.75
"Aleph",0.424,0,0.584,0.411,0.521,0.709,0.578,0.306,0.517,0.509,0.578,0.55,0.288,0.544,0.55,0.578,0.589,0.466,0.583,0.6,0.462,0.539,0.539,0.478,0.589,0.567,0.575,0.528,0.6,0.572,0.589,0.417,0.583,0.594,0.619,0.572,0.553,0.611,0.599,0.626,0.671,0.557,0.662,0.63,0.627,0.693,0.605,0.572,0.715,0.679,0.62,0.669,0.549,0.603,0.653,0.581,0.398,0.599,0.224,0.559,0.512,0.52,0.52,0.739,0.676,0.632,0.789,0.5,0.531,0.452,0.513,0.24,0.536
"A",0.656,0.584,0,0.669,0.287,0.614,0.191,0.588,0.294,0.277,0.152,0.245,0.576,0.193,0.228,0.137,0.177,0.362,0.283,0.182,0.34,0.203,0.297,0.317,0.148,0.147,0.279,0.231,0.152,0.207,0.228,0.425,0.184,0.229,0.187,0.239,0.207,0.187,0.175,0.213,0.57,0.402,0.575,0.589,0.491,0.595,0.639,0.353,0.589,0.589,0.337,0.545,0.358,0.632,0.525,0.412,0.494,0.204,0.505,0.216,0.458,0.408,0.551,0.523,0.568,0.737,0.632,0.538,0.679,0.548,0.59,0.48,0.143
"B",0.168,0.411,0.669,0,0.702,0.734,0.702,0.343,0.633,0.717,0.696,0.68,0.39,0.702,0.696,0.707,0.703,0.598,0.7,0.7,0.583,0.674,0.619,0.567,0.707,0.702,0.709,0.707,0.718,0.718,0.713,0.47,0.707,0.749,0.739,0.733,0.704,0.729,0.734,0.736,0.745,0.649,0.75,0.767,0.696,0.752,0.646,0.653,0.728,0.702,0.718,0.74,0.63,0.581,0.683,0.662,0.518,0.689,0.252,0.735,0.608,0.52,0.582,0.716,0.73,0.737,0.842,0.615,0.536,0.476,0.385,0.56,0.679
"C",0.819,0.521,0.287,0.702,0,0.649,0.298,0.564,0.404,0.34,0.255,0.298,0.644,0.287,0.298,0.266,0.298,0.457,0.309,0.34,0.394,0.309,0.447,0.372,0.287,0.277,0.309,0.298,0.223,0.298,0.245,0.479,0.287,0.298,0.383,0.287,0.319,0.298,0.319,0.277,0.734,0.479,0.606,0.822,0.532,0.628,0.691,0.372,0.691,0.649,0.447,0.585,0.479,0.84,0.798,0.521,0.675,0.372,0.723,0.596,0.553,0.543,0.734,0.761,0.838,0.684,0.737,0.692,0.75,0.786,0.846,0.68,0.75
"D",0.808,0.709,0.614,0.734,0.649,0,0.652,0.778,0.633,0.722,0.633,0.671,0.729,0.671,0.658,0.633,0.627,0.703,0.665,0.646,0.724,0.658,0.684,0.677,0.633,0.639,0.696,0.671,0.646,0.677,0.62,0.696,0.639,0.652,0.665,0.677,0.69,0.658,0.658,0.677,0.483,0.601,0.506,0.479,0.544,0.094,0.476,0.589,0.494,0.513,0.595,0.558,0.633,0.632,0.574,0.69,0.759,0.665,0.748,0.676,0.703,0.704,0.735,0.648,0.676,0.737,0.632,0.615,0.464,0.762,0.615,0.24,0.714
"K",0.728,0.578,0.191,0.702,0.298,0.652,0,0.621,0.333,0.264,0.12,0.257,0.61,0.072,0.208,0.087,0.172,0.362,0.272,0.159,0.385,0.176,0.253,0.3,0.137,0.115,0.257,0.11,0.158,0.18,0.197,0.448,0.142,0.24,0.153,0.194,0.106,0.132,0.141,0.144,0.611,0.402,0.581,0.534,0.497,0.621,0.639,0.347,0.582,0.607,0.374,0.552,0.37,0.669,0.485,0.375,0.458,0.186,0.551,0.225,0.464,0.434,0.561,0.443,0.703,0.737,0.737,0.615,0.607,0.524,0.564,0.4,0.143
"L",0.336,0.306,0.588,0.343,0.564,0.778,0.621,0,0.578,0.528,0.588,0.549,0.169,0.613,0.538,0.604,0.611,0.466,0.572,0.618,0.385,0.582,0.571,0.4,0.604,0.599,0.553,0.61,0.615,0.599,0.599,0.376,0.577,0.589,0.614,0.594,0.603,0.599,0.61,0.592,0.678,0.575,0.687,0.726,0.646,0.771,0.646,0.59,0.703,0.685,0.656,0.643,0.562,0.669,0.743,0.631,0.422,0.623,0.196,0.618,0.518,0.5,0.52,0.773,0.811,0.632,0.737,0.654,0.536,0.429,0.462,0.32,0.607
"W",0.648,0.517,0.294,0.633,0.404,0.633,0.333,0.578,0,0.377,0.289,0.411,0.441,0.322,0.394,0.294,0.297,0.431,0.4,0.329,0.5,0.294,0.383,0.422,0.306,0.311,0.419,0.322,0.306,0.339,0.383,0.456,0.322,0.406,0.358,0.344,0.341,0.372,0.345,0.385,0.671,0.506,0.625,0.63,0.565,0.614,0.626,0.462,0.62,0.655,0.479,0.623,0.507,0.559,0.515,0.4,0.47,0.365,0.477,0.412,0.566,0.487,0.582,0.523,0.649,0.737,0.842,0.654,0.571,0.524,0.59,0.44,0.143
"X",0.704,0.509,0.277,0.717,0.34,0.722,0.264,0.528,0.377,0,0.233,0.245,0.576,0.27,0.252,0.226,0.283,0.428,0.302,0.308,0.372,0.258,0.333,0.352,0.252,0.226,0.289,0.264,0.239,0.245,0.258,0.472,0.226,0.302,0.289,0.264,0.258,0.258,0.27,0.302,0.658,0.453,0.585,0.644,0.535,0.667,0.687,0.421,0.62,0.591,0.447,0.597,0.472,0.721,0.604,0.503,0.47,0.308,0.561,0.441,0.497,0.507,0.5,0.534,0.703,0.737,0.789,0.577,0.786,0.643,0.641,0.4,0.286
