"","P45","Aleph","A","B","C","D","K","L","W","X","Delta","Theta","Pi","Psi","Byz","Lect","f-1","f-13","28","33","565","700","892","1009","1010","1071","1079","1195","1216","1230","1241","1242","1253","1344","1365","1546","1646","2148","2174"
"P45",0,0.645,0.677,0.645,0.839,0.677,0.71,0.71,0.484,0.774,0.613,0.645,0.71,0.903,0.71,0.742,0.419,0.516,0.387,0.774,0.581,0.516,0.742,0.71,0.71,0.742,0.71,0.677,0.677,0.677,0.677,0.71,0.677,0.71,0.613,0.742,0.71,0.71,0.71
"Aleph",0.645,0,0.63,0.31,0.371,0.73,0.665,0.356,0.653,0.56,0.41,0.657,0.653,0.487,0.634,0.61,0.645,0.688,0.652,0.519,0.671,0.655,0.393,0.643,0.659,0.601,0.659,0.618,0.647,0.624,0.565,0.642,0.624,0.636,0.624,0.655,0.613,0.659,0.659
"A",0.677,0.63,0,0.632,0.424,0.664,0.149,0.54,0.576,0.183,0.488,0.56,0.126,0.562,0.145,0.201,0.379,0.37,0.427,0.346,0.54,0.363,0.443,0.238,0.149,0.262,0.126,0.208,0.241,0.19,0.271,0.201,0.243,0.195,0.218,0.19,0.167,0.201,0.23
"B",0.645,0.31,0.632,0,0.523,0.783,0.632,0.356,0.604,0.633,0.446,0.681,0.632,0.312,0.661,0.652,0.592,0.69,0.622,0.549,0.655,0.661,0.427,0.655,0.649,0.649,0.632,0.643,0.673,0.655,0.6,0.637,0.661,0.655,0.637,0.655,0.632,0.649,0.667
"C",0.839,0.371,0.424,0.523,0,0.78,0.455,0.409,0.705,0.587,0.371,0.644,0.447,0.512,0.424,0.477,0.53,0.53,0.553,0.538,0.614,0.538,0.386,0.455,0.47,0.47,0.424,0.402,0.462,0.409,0.409,0.455,0.432,0.439,0.409,0.432,0.462,0.447,0.462
"D",0.677,0.73,0.664,0.783,0.78,0,0.678,0.763,0.604,0.706,0.697,0.487,0.664,0.85,0.684,0.691,0.711,0.632,0.645,0.737,0.513,0.572,0.717,0.684,0.678,0.704,0.684,0.684,0.691,0.684,0.704,0.671,0.697,0.691,0.691,0.711,0.678,0.724,0.664
"K",0.71,0.665,0.149,0.632,0.455,0.678,0,0.534,0.562,0.202,0.506,0.536,0.074,0.55,0.099,0.183,0.385,0.335,0.409,0.323,0.529,0.351,0.434,0.173,0.103,0.226,0.08,0.15,0.234,0.16,0.241,0.177,0.237,0.149,0.194,0.155,0.16,0.177,0.171
"L",0.71,0.356,0.54,0.356,0.409,0.763,0.534,0,0.625,0.587,0.35,0.626,0.54,0.337,0.552,0.534,0.552,0.62,0.595,0.436,0.607,0.583,0.239,0.589,0.552,0.571,0.54,0.534,0.558,0.552,0.479,0.552,0.577,0.564,0.54,0.564,0.534,0.571,0.558
"W",0.484,0.653,0.576,0.604,0.705,0.604,0.562,0.625,0,0.624,0.611,0.576,0.569,0.587,0.556,0.562,0.444,0.5,0.514,0.722,0.542,0.562,0.604,0.542,0.569,0.639,0.569,0.535,0.569,0.59,0.597,0.569,0.597,0.583,0.528,0.611,0.556,0.556,0.583
"X",0.774,0.56,0.183,0.633,0.587,0.706,0.202,0.587,0.624,0,0.505,0.495,0.193,0.587,0.119,0.202,0.459,0.358,0.459,0.486,0.523,0.339,0.422,0.22,0.11,0.266,0.211,0.138,0.202,0.156,0.211,0.092,0.174,0.156,0.174,0.239,0.128,0.147,0.174
"Delta",0.613,0.41,0.488,0.446,0.371,0.697,0.506,0.35,0.611,0.505,0,0.639,0.488,0.387,0.53,0.53,0.53,0.56,0.543,0.391,0.608,0.524,0.361,0.53,0.506,0.542,0.488,0.5,0.518,0.518,0.482,0.506,0.548,0.542,0.506,0.494,0.536,0.53,0.518
"Theta",0.645,0.657,0.56,0.681,0.644,0.487,0.536,0.626,0.576,0.495,0.639,0,0.53,0.712,0.524,0.506,0.5,0.422,0.451,0.549,0.271,0.434,0.554,0.542,0.524,0.518,0.548,0.524,0.53,0.554,0.536,0.494,0.53,0.524,0.518,0.584,0.506,0.53,0.5
"Pi",0.71,0.653,0.126,0.632,0.447,0.664,0.074,0.54,0.569,0.193,0.488,0.53,0,0.537,0.11,0.177,0.373,0.329,0.409,0.323,0.529,0.345,0.434,0.19,0.091,0.232,0.046,0.133,0.217,0.177,0.235,0.149,0.225,0.161,0.189,0.143,0.16,0.171,0.166
"Psi",0.903,0.487,0.562,0.312,0.512,0.85,0.55,0.337,0.587,0.587,0.387,0.712,0.537,0,0.575,0.55,0.562,0.662,0.575,0.737,0.712,0.512,0.325,0.587,0.55,0.612,0.55,0.562,0.575,0.587,0.6,0.562,0.6,0.562,0.537,0.575,0.562,0.55,0.575
